English Premier League,England,2012-2013
Matchday,Home Team,Away Team,Goals Home,Goals Away,Points Home,Points Away
1,Arsenal,Sunderland AFC,0,0,1,1
1,Fulham FC,Norwich City,5,0,3,0
1,Queens Park Rangers,Swansea City,0,5,0,3
1,Reading FC,Stoke City,1,1,1,1
1,West Bromwich Albion,Liverpool,3,0,3,0
1,West Ham United,Aston Villa,1,0,3,0
1,Newcastle United,Tottenham Hotspur,2,1,3,0
1,Wigan Athletic,Chelsea,0,2,0,3
1,Manchester City,Southampton FC,3,2,3,0
1,Everton FC,Manchester United,1,0,3,0
2,Swansea City,West Ham United,3,0,3,0
2,Aston Villa,Everton FC,1,3,0,3
2,Manchester United,Fulham FC,3,2,3,0
2,Norwich City,Queens Park Rangers,1,1,1,1
2,Southampton FC,Wigan Athletic,0,2,0,3
2,Tottenham Hotspur,West Bromwich Albion,1,1,1,1
2,Chelsea,Newcastle United,2,0,3,0
2,Stoke City,Arsenal,0,0,1,1
2,Liverpool,Manchester City,2,2,1,1
2,Sunderland AFC,Reading FC,3,0,3,0
3,Chelsea,Reading FC,4,2,3,0
3,West Ham United,Fulham FC,3,0,3,0
3,Swansea City,Sunderland AFC,2,2,1,1
3,Tottenham Hotspur,Norwich City,1,1,1,1
3,West Bromwich Albion,Everton FC,2,0,3,0
3,Wigan Athletic,Stoke City,2,2,1,1
3,Manchester City,Queens Park Rangers,3,1,3,0
3,Liverpool,Arsenal,0,2,0,3
3,Newcastle United,Aston Villa,1,1,1,1
3,Southampton FC,Manchester United,2,3,0,3
4,Norwich City,West Ham United,0,0,1,1
4,Arsenal,Southampton FC,6,1,3,0
4,Aston Villa,Swansea City,2,0,3,0
4,Fulham FC,West Bromwich Albion,3,0,3,0
4,Manchester United,Wigan Athletic,4,0,3,0
4,Queens Park Rangers,Chelsea,0,0,1,1
4,Stoke City,Manchester City,1,1,1,1
4,Sunderland AFC,Liverpool,1,1,1,1
4,Reading FC,Tottenham Hotspur,1,3,0,3
4,Everton FC,Newcastle United,2,2,1,1
5,Swansea City,Everton FC,0,3,0,3
5,Chelsea,Stoke City,1,0,3,0
5,Southampton FC,Aston Villa,4,1,3,0
5,West Bromwich Albion,Reading FC,1,0,3,0
5,West Ham United,Sunderland AFC,1,1,1,1
5,Wigan Athletic,Fulham FC,1,2,0,3
5,Liverpool,Manchester United,1,2,0,3
5,Newcastle United,Norwich City,1,0,3,0
5,Manchester City,Arsenal,1,1,1,1
5,Tottenham Hotspur,Queens Park Rangers,2,1,3,0
6,Arsenal,Chelsea,1,2,0,3
6,Everton FC,Southampton FC,3,1,3,0
6,Fulham FC,Manchester City,1,2,0,3
6,Norwich City,Liverpool,2,5,0,3
6,Reading FC,Newcastle United,2,2,1,1
6,Stoke City,Swansea City,2,0,3,0
6,Sunderland AFC,Wigan Athletic,1,0,3,0
6,Manchester United,Tottenham Hotspur,2,3,0,3
6,Aston Villa,West Bromwich Albion,1,1,1,1
6,Queens Park Rangers,West Ham United,1,2,0,3
7,Manchester City,Sunderland AFC,3,0,3,0
7,Chelsea,Norwich City,4,1,3,0
7,Swansea City,Reading FC,2,2,1,1
7,West Bromwich Albion,Queens Park Rangers,3,2,3,0
7,Wigan Athletic,Everton FC,2,2,1,1
7,West Ham United,Arsenal,1,3,0,3
7,Southampton FC,Fulham FC,2,2,1,1
7,Liverpool,Stoke City,0,0,1,1
7,Tottenham Hotspur,Aston Villa,2,0,3,0
7,Newcastle United,Manchester United,0,3,0,3
8,Tottenham Hotspur,Chelsea,2,4,0,3
8,Fulham FC,Aston Villa,1,0,3,0
8,Liverpool,Reading FC,1,0,3,0
8,Manchester United,Stoke City,4,2,3,0
8,Swansea City,Wigan Athletic,2,1,3,0
8,West Bromwich Albion,Manchester City,1,2,0,3
8,West Ham United,Southampton FC,4,1,3,0
8,Norwich City,Arsenal,1,0,3,0
8,Sunderland AFC,Newcastle United,1,1,1,1
8,Queens Park Rangers,Everton FC,1,1,1,1
9,Aston Villa,Norwich City,1,1,1,1
9,Arsenal,Queens Park Rangers,1,0,3,0
9,Reading FC,Fulham FC,3,3,1,1
9,Stoke City,Sunderland AFC,0,0,1,1
9,Wigan Athletic,West Ham United,2,1,3,0
9,Manchester City,Swansea City,1,0,3,0
9,Everton FC,Liverpool,2,2,1,1
9,Newcastle United,West Bromwich Albion,2,1,3,0
9,Southampton FC,Tottenham Hotspur,1,2,0,3
9,Chelsea,Manchester United,2,3,0,3
10,Manchester United,Arsenal,2,1,3,0
10,Fulham FC,Everton FC,2,2,1,1
10,Norwich City,Stoke City,1,0,3,0
10,Sunderland AFC,Aston Villa,0,1,0,3
10,Swansea City,Chelsea,1,1,1,1
10,Tottenham Hotspur,Wigan Athletic,0,1,0,3
10,West Ham United,Manchester City,0,0,1,1
10,Queens Park Rangers,Reading FC,1,1,1,1
10,Liverpool,Newcastle United,1,1,1,1
10,West Bromwich Albion,Southampton FC,2,0,3,0
11,Arsenal,Fulham FC,3,3,1,1
11,Everton FC,Sunderland AFC,2,1,3,0
11,Reading FC,Norwich City,0,0,1,1
11,Southampton FC,Swansea City,1,1,1,1
11,Stoke City,Queens Park Rangers,1,0,3,0
11,Wigan Athletic,West Bromwich Albion,1,2,0,3
11,Aston Villa,Manchester United,2,3,0,3
11,Manchester City,Tottenham Hotspur,2,1,3,0
11,Newcastle United,West Ham United,0,1,0,3
11,Chelsea,Liverpool,1,1,1,1
12,Arsenal,Tottenham Hotspur,5,2,3,0
12,Liverpool,Wigan Athletic,3,0,3,0
12,Manchester City,Aston Villa,5,0,3,0
12,Newcastle United,Swansea City,1,2,0,3
12,Queens Park Rangers,Southampton FC,1,3,0,3
12,Reading FC,Everton FC,2,1,3,0
12,West Bromwich Albion,Chelsea,2,1,3,0
12,Norwich City,Manchester United,1,0,3,0
12,Fulham FC,Sunderland AFC,1,3,0,3
12,West Ham United,Stoke City,1,1,1,1
13,Sunderland AFC,West Bromwich Albion,2,4,0,3
13,Everton FC,Norwich City,1,1,1,1
13,Manchester United,Queens Park Rangers,3,1,3,0
13,Stoke City,Fulham FC,1,0,3,0
13,Wigan Athletic,Reading FC,3,2,3,0
13,Aston Villa,Arsenal,0,0,1,1
